Identity	Eligible card rationales	Cards shown	Missing coverage	Why rejected	Source needed
WR — Boros Legion	0	None	Gap: no owner-approved public relationship.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
LOREHOLD — Lorehold College	0	None	Gap: no owner-approved public relationship.	Public approval is still required; mechanical eligibility is not semantic approval.	Owner approval, rejection, or narrowing of the preserved proposed rationale.
PRISMARI — Prismari College	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
QUANDRIX — Quandrix College	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
SILVERQUILL — Silverquill College	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WITHERBLOOM — Witherbloom College	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
BANT — Bant	0	None	Gap: no owner-approved public relationship.	Candidate resolves only to support records, not a substantive certified identity claim.	Owner approval, rejection, or narrowing of the preserved proposed rationale. | A bounded adjudicated bridge to at least one substantive certified identity claim.
ESPER — Esper	0	None	Gap: no owner-approved public relationship.	Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
GRIXIS — Grixis	0	None	Gap: no owner-approved public relationship.	Unresolved provenance IDs: src_vm_second_commander_recommendations_ubr, src_scryfall_commander_index_local.	Correct the raw source/claim ledger or candidate references; generated data cannot repair unresolved IDs.
JUND — Jund	0	None	Gap: no owner-approved public relationship.	Existing wording contains reviewer/source-method language and is not eligible as player copy. | Canonical card name does not resolve in the committed Commander card index. | Current relationship bridge depends on generic color, product, or mechanical analogy rather than a direct native identity/card anchor.	Owner-reviewed player wording that remains within the existing relationship evidence, or rejection. | Refresh or add a reviewed canonical Scryfall card record before relationship adjudication. | Direct official card/identity association or a separately adjudicated bounded mechanical-example bridge; current analogy is insufficient.
NAYA — Naya	0	None	Gap: no owner-approved public relationship.	Generated-only candidate has no matching canonical raw relationship row.	A source-first raw relationship and complete adjudication; generated display data is not authority.
ABZAN — Abzan Houses	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
TEMUR — Temur Frontier	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
SULTAI — Sultai Brood	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
MARDU — Mardu Horde	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
JESKAI — Jeskai Way	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
YORE — Yore / Artifice	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
GLINT — Glint / Chaos	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
DUNE — Dune / Aggression	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
INK — Ink / Altruism	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WITCH — Witch / Growth	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
COLORLESS — Colorless	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
WUBRG — Five-Color / WUBRG	0	None	Gap: no owner-approved public relationship.	Candidate uses missing, string-only, or incomplete claim/source provenance.	Explicit card-to-certified-identity adjudication with resolvable claim, source, and canonical card locators.
